Forduló: 1, Erika választása: Kő, Erik választása: Kő, Győztes: Döntetlen
Forduló: 2, Erika választása: Olló, Erik választása: Kő, Győztes: Erik
Forduló: 3, Erika választása: Papír, Erik választása: Papír, Győztes: Döntetlen
Forduló: 4, Erika választása: Kő, Erik választása: Olló, Győztes: Erika
Forduló: 5, Erika választása: Olló, Erik választása: Olló, Győztes: Döntetlen
Forduló: 6, Erika választása: Papír, Erik választása: Papír, Győztes: Döntetlen
Forduló: 7, Erika választása: Olló, Erik választása: Kő, Győztes: Erik
Forduló: 8, Erika választása: Papír, Erik választása: Kő, Győztes: Erika
Forduló: 9, Erika választása: Kő, Erik választása: Papír, Győztes: Erik
Forduló: 10, Erika választása: Kő, Erik választása: Papír, Győztes: Erik
Forduló: 1, Zoé választása: Olló, Gabi választása: Olló, Győztes: Döntetlen
Forduló: 2, Zoé választása: Papír, Gabi választása: Papír, Győztes: Döntetlen
Forduló: 3, Zoé választása: Kő, Gabi választása: Kő, Győztes: Döntetlen
Forduló: 4, Zoé választása: Kő, Gabi választása: Papír, Győztes: Gabi
Forduló: 5, Zoé választása: Papír, Gabi választása: Olló, Győztes: Gabi
Forduló: 6, Zoé választása: Kő, Gabi választása: Olló, Győztes: Zoé
Forduló: 7, Zoé választása: Papír, Gabi választása: Olló, Győztes: Gabi
Forduló: 8, Zoé választása: Olló, Gabi választása: Kő, Győztes: Gabi
Forduló: 9, Zoé választása: Olló, Gabi választása: Papír, Győztes: Zoé
Forduló: 10, Zoé választása: Olló, Gabi választása: Olló, Győztes: Döntetlen
Forduló: 1, Erika választása: Kő, Zoé választása: Olló, Győztes: Erika
Forduló: 2, Erika választása: Kő, Zoé választása: Olló, Győztes: Erika
Forduló: 3, Erika választása: Olló, Zoé választása: Kő, Győztes: Zoé
Forduló: 4, Erika választása: Kő, Zoé választása: Kő, Győztes: Döntetlen
Forduló: 5, Erika választása: Kő, Zoé választása: Kő, Győztes: Döntetlen
Forduló: 6, Erika választása: Kő, Zoé választása: Kő, Győztes: Döntetlen
Forduló: 7, Erika választása: Kő, Zoé választása: Kő, Győztes: Döntetlen
Forduló: 8, Erika választása: Kő, Zoé választása: Kő, Győztes: Döntetlen
Forduló: 9, Erika választása: Kő, Zoé választása: Kő, Győztes: Döntetlen
Forduló: 10, Erika választása: Kő, Zoé választása: Kő, Győztes: Döntetlen
