BRSE	2,3,3,3,1,3,2,3,3,3,1,3,3,1,3,3
Haladás	1,3,1,2,3,2,2,3,2,3,3,2,2,1,3,3
BudaörsiDSE	3,1,1,1,2,2,1,1,3,2,2,2,2,1,1,3
MÁVElőreSC	1,3,1,3,3,3,3,1,2,3,1,3,1,1,2,1
Penta-GödöllőiRöplabdaClub	2,2,3,1,3,1,1,1,2,1,1,1,3,2,3,1
SZBBRA	1,1,3,1,2,1,2,2,2,2,2,1,2,3,2,2
TFSE	3,2,3,3,1,2,1,3,1,3,1,2,2,2,3
DSZC-Eötvös	3,2,2,2,1,2,3,2,1,3,2,2,3,3,1,1
UTE	1,3,3,2,1,2,2,3,1,1,1,2,2,1,3,1
VasasÓbuda	2,3,1,1,2,3,2,1,3,3,1,1,2,2,1,1
PalotaRSC	2,2,2,2,3,2,2,2,2,3,1,2,1,3,1,2
DiósgyőriVTK	2,3,2,2,3,1,3,3,1,1,2,2,1,2,1,2
MTKBudapest	1,2,2,2,2,1,2,2,3,3,2,2,3,2,3,2
Fatum-Nyíregyháza	2,2,3,2,3,1,2,3,3,1,3,1,2,2,2,2
JászberényiRK	2,2,1,1,2,3,2,2,3,1,3,3,3,3,2,1
MCMKaposvári	2,2,2,2,3,3,3,2,3,1,1,2,3,3,3,2
