Gyáriszám;Besorolás;Ár
G14-25258;Szerver;300000
M89-15479;PC;150000
L32-74561;Laptop;1200000
X12-34567;PC;350000
G22-45678;Szerver;800000
M72-56789;Laptop;2200000
L43-67890;PC;450000
G55-78901;Szerver;1000000
X91-89012;PC;250000
G82-90123;Laptop;1900000
M61-12345;Szerver;750000
L23-23456;Laptop;1600000
X72-34567;PC;700000
G92-45678;Szerver;950000
M41-56789;Laptop;1300000
L12-67890;PC;600000
X84-78901;Szerver;1200000
G71-89012;Laptop;1700000
M35-90123;PC;400000
L62-12345;Szerver;850000
G21-23456;Laptop;1100000
X63-34567;PC;270000
M54-45678;Szerver;650000
G44-56789;Laptop;2000000
L25-67890;PC;550000
M32-78901;Szerver;600000
G12-89012;Laptop;1800000
X56-90123;PC;320000
G64-12345;Szerver;1500000
L91-23456;Laptop;1900000
M22-34567;PC;500000
X41-45678;Szerver;1250000
L14-56789;Laptop;1600000
G53-67890;PC;750000
M81-78901;Szerver;700000
L16-89012;Laptop;2100000
X34-90123;PC;270000
G33-12345;Szerver;900000
M13-23456;Laptop;1200000
L72-34567;PC;350000
X11-45678;Szerver;950000
G14-56789;Laptop;1300000
M26-67890;PC;450000
X73-78901;Szerver;1200000
G82-89012;Laptop;1700000
M19-90123;PC;600000
L22-12345;Szerver;1100000
G45-23456;Laptop;2000000
M34-34567;PC;320000
X62-45678;Szerver;1300000
L51-56789;Laptop;1400000
G13-67890;PC;380000
X25-78901;Szerver;1100000
L18-89012;Laptop;1500000
M48-90123;PC;460000
